Noun,apple
Noun,banana
Noun,car
Noun,dog
Noun,house
Noun,tree
Noun,book
Noun,flower
Noun,city
Noun,mountain
Noun,river
Noun,computer
Noun,ability
Noun,acorn
Noun,afternoon
Noun,alarm
Noun,cat
Noun,truck
Noun,vehicle
Noun,pool
Noun,lake
Noun,ocean
Noun,chair
Noun,backpack
Noun,pencil
Noun,pen
Noun,august
Noun,october
Noun,avatar
Noun,bubbles
Noun,barrel
Noun,basket
Noun,blizzard
Verb,swimming
Noun,fish
Noun,animal
Noun,orange
Noun,tractor
Verb,reading
Verb,running
Verb,jumping
Verb,singing
Verb,dancing
Verb,painting
Verb,driving
Verb,cooking
Verb,acting
Verb,approve
Verb,applied
Verb,sleeping
Verb,blaming
Adjective,quick
Adjective,bright
Adjective,happy
Adjective,blue
Adjective,tall
Adjective,soft
Adjective,calm
Adjective,red
Adjective,brave
Adjective,gentle
Adjective,sharp
Adjective,warm
Adjective,green
Adjective,purple
Adjective,absolute
Adjective,active
Adjective,orange
Adjective,asleep
Adjective,average
Adjective,basic
Adjective,blank
